YES,AT_HRZF7AQ5_1FC
YES,AT_HRZF7AQ5_1FJ
NO,AT_HRZF7AQ5_4IO
NO,AT_HRZF7AQ5_3RO
YES,AT_HRZF7AQ5_3RQ
NO,AT_HRZF7AQ5_40X
NO,AT_HRZF7AQ5_4GO
OPEN ENDED,AT_HRZF7AQ5_4GU
NO,AT_HRZF7AQ5_4HX
YES,AT_HRZF7AQ5_4I2
NO,AT_HRZF7AQ5_4I8
YES,AT_HRZF7AQ5_5F9
OPEN ENDED,AT_HRZF7AQ5_4II
NO,AT_HRZF7AQ5_51E
OPEN ENDED,AT_HRZF7AQ5_549
OPEN ENDED,AT_HRZF7AQ5_4HU
YES,AT_HRZF7AQ5_4I5
NO,AT_HRZF7AQ5_4IM
YES,AT_HRZF7AQ5_51B
OPEN ENDED,AT_HRZF7AQ5_51E
OPEN ENDED,AT_HRZF7AQ5_549
OPEN ENDED,AT_HRZF7AQ5_5F8
